NAME,EMAIL,PASSWORD,ROLE
Alice Smith,alicesmith@example.com,alice,ROLE_DOCTOR
Emma White,emmawhite@example.com,emma,ROLE_DOCTOR
Olivia Davis,oliviadavis@example.com,olivia,ROLE_DOCTOR
Ella Jones,ellajones@example.com,ella,ROLE_ADMIN
Bob Johnson,bobjohnson@example.com,bob,ROLE_PATIENT
Michael Brown,michaelbrown@example.com,michael,ROLE_PATIENT
David Wilson,davidwilson@example.com,david,ROLE_PATIENT
Sophia Moore,sophiamoore@example.com,sophia,ROLE_PATIENT
William Taylor,williamtaylor@example.com,william,ROLE_PATIENT
Emily Johnson,emilyjohnson@example.com,emily,ROLE_PATIENT
Daniel Harris,danielharris@example.com,daniel,ROLE_PATIENT
Sarah Miller,sarahmiller@example.com,sarah,ROLE_PATIENT
Ryan Turner,ryanturner@example.com,ryan,ROLE_PATIENT
Chloe Davis,chloedavis@example.com,chloe,ROLE_PATIENT
Matthew Wilson,matthewwilson@example.com,matthew,ROLE_PATIENT
Ava Brown,avabrown@example.com,ava,ROLE_PATIENT
James Clark,jamesclark@example.com,james,ROLE_PATIENT
Lily Smith,lilysmith@example.com,lily,ROLE_PATIENT
Benjamin Taylor,benjamintaylor@example.com,benjamin,ROLE_PATIENT
